Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path,,,,,
48,48,6,6,43,43,1,Train/1/00014_00002_00017.png,,,,,
48,48,6,6,43,43,1,Train/1/00014_00002_00018.png,,,,,
51,50,6,6,46,45,1,Train/1/00014_00002_00019.png,,,,,
53,53,6,6,48,48,1,Train/1/00014_00002_00020.png,,,,,
54,53,6,5,49,48,1,Train/1/00014_00002_00021.png,,,,,
57,57,6,6,51,51,1,Train/1/00014_00002_00022.png,,,,,
57,58,5,6,51,52,1,Train/1/00014_00002_00023.png,,,,,
59,59,5,5,54,54,1,Train/1/00014_00002_00024.png,,,,,
62,61,6,5,57,55,1,Train/1/00014_00002_00025.png,,,,,
64,64,5,5,59,59,1,Train/1/00014_00002_00026.png,,,,,
70,69,7,7,64,63,1,Train/1/00014_00002_00027.png,,,,,
71,72,6,7,65,66,1,Train/1/00014_00002_00028.png,,,,,
77,76,7,6,71,70,1,Train/1/00014_00002_00029.png,,,,,
41,43,5,6,36,38,1,Train/1/00014_00003_00000.png,,,,,
43,44,6,6,38,39,1,Train/1/00014_00003_00001.png,,,,,
43,44,5,5,38,38,1,Train/1/00014_00003_00002.png,,,,,
46,44,6,5,40,39,1,Train/1/00014_00003_00003.png,,,,,
47,46,6,5,41,40,1,Train/1/00014_00003_00004.png,,,,,
47,46,6,5,42,41,1,Train/1/00014_00003_00005.png,,,,,
47,48,5,5,42,42,1,Train/1/00014_00003_00006.png,,,,,
48,49,5,5,43,44,1,Train/1/00014_00003_00007.png,,,,,
49,51,5,6,44,46,1,Train/1/00014_00003_00008.png,,,,,
52,51,6,5,47,46,1,Train/1/00014_00003_00009.png,,,,,
54,54,6,6,48,48,1,Train/1/00014_00003_00010.png,,,,,
55,55,6,6,50,50,1,Train/1/00014_00003_00011.png,,,,,
56,57,5,5,51,52,1,Train/1/00014_00003_00012.png,,,,,
58,59,5,5,52,54,1,Train/1/00014_00003_00013.png,,,,,
61,63,6,6,56,58,1,Train/1/00014_00003_00014.png,,,,,
63,64,6,5,58,59,1,Train/1/00014_00003_00015.png,,,,,
63,68,5,6,58,61,1,Train/1/00014_00003_00016.png,,,,,
70,72,7,7,64,66,1,Train/1/00014_00003_00017.png,,,,,
72,73,7,6,66,67,1,Train/1/00014_00003_00018.png,,,,,
76,80,6,8,69,73,1,Train/1/00014_00003_00019.png,,,,,
83,83,8,7,75,75,1,Train/1/00014_00003_00020.png,,,,,
87,87,8,7,80,80,1,Train/1/00014_00003_00021.png,,,,,
93,94,8,8,85,85,1,Train/1/00014_00003_00022.png,,,,,
99,98,9,8,91,90,1,Train/1/00014_00003_00023.png,,,,,
110,108,9,9,100,99,1,Train/1/00014_00003_00024.png,,,,,
120,117,11,11,110,107,1,Train/1/00014_00003_00025.png,,,,,
129,125,11,11,118,114,1,Train/1/00014_00003_00026.png,,,,,
144,140,12,12,132,127,1,Train/1/00014_00003_00027.png,,,,,
159,153,14,14,145,140,1,Train/1/00014_00003_00028.png,,,,,
176,169,15,14,161,155,1,Train/1/00014_00003_00029.png,,,,,
37,38,6,6,32,33,1,Train/1/00014_00004_00000.png,,,,,
37,39,5,6,32,34,1,Train/1/00014_00004_00001.png,,,,,
38,40,5,6,32,35,1,Train/1/00014_00004_00002.png,,,,,
40,41,6,6,35,36,1,Train/1/00014_00004_00003.png,,,,,
40,42,6,6,34,36,1,Train/1/00014_00004_00004.png,,,,,
39,39,5,5,34,34,1,Train/1/00014_00004_00005.png,,,,,
41,42,6,5,36,37,1,Train/1/00014_00004_00006.png,,,,,
41,43,5,6,36,37,1,Train/1/00014_00004_00007.png,,,,,
44,43,6,5,39,38,1,Train/1/00014_00004_00008.png,,,,,
45,46,5,6,39,40,1,Train/1/00014_00004_00009.png,,,,,
46,47,5,6,41,41,1,Train/1/00014_00004_00010.png,,,,,
48,48,6,5,43,43,1,Train/1/00014_00004_00011.png,,,,,
50,49,6,5,44,44,1,Train/1/00014_00004_00012.png,,,,,
52,52,6,6,46,47,1,Train/1/00014_00004_00013.png,,,,,
52,53,5,6,47,48,1,Train/1/00014_00004_00014.png,,,,,
56,56,6,6,51,51,1,Train/1/00014_00004_00015.png,,,,,
58,58,5,6,52,53,1,Train/1/00014_00004_00016.png,,,,,
61,61,5,6,56,56,1,Train/1/00014_00004_00017.png,,,,,
63,64,6,5,58,58,1,Train/1/00014_00004_00018.png,,,,,
69,70,6,6,63,64,1,Train/1/00014_00004_00019.png,,,,,
75,76,7,7,69,70,1,Train/1/00014_00004_00020.png,,,,,
81,83,7,8,73,76,1,Train/1/00014_00004_00021.png,,,,,
87,88,7,7,80,81,1,Train/1/00014_00004_00022.png,,,,,
94,97,8,9,86,89,1,Train/1/00014_00004_00023.png,,,,,
105,106,10,10,96,97,1,Train/1/00014_00004_00024.png,,,,,
117,117,11,11,107,107,1,Train/1/00014_00004_00025.png,,,,,
129,130,11,12,118,119,1,Train/1/00014_00004_00026.png,,,,,
147,147,13,13,135,135,1,Train/1/00014_00004_00027.png,,,,,
168,167,15,14,154,153,1,Train/1/00014_00004_00028.png,,,,,
194,193,16,17,178,177,1,Train/1/00014_00004_00029.png,,,,,
52,53,5,6,47,48,1,Train/1/00014_00005_00000.png,,,,,
52,53,5,6,47,48,1,Train/1/00014_00005_00001.png,,,,,
52,53,5,6,47,48,1,Train/1/00014_00005_00002.png,,,,,
53,53,6,6,48,48,1,Train/1/00014_00005_00003.png,,,,,
54,53,6,6,48,48,1,Train/1/00014_00005_00004.png,,,,,
54,54,6,6,49,49,1,Train/1/00014_00005_00005.png,,,,,
53,54,5,6,48,49,1,Train/1/00014_00005_00006.png,,,,,
53,53,5,5,48,48,1,Train/1/00014_00005_00007.png,,,,,
54,54,6,6,49,49,1,Train/1/00014_00005_00008.png,,,,,
55,55,6,6,50,50,1,Train/1/00014_00005_00009.png,,,,,
54,55,5,6,49,50,1,Train/1/00014_00005_00010.png,,,,,
55,56,5,6,50,51,1,Train/1/00014_00005_00011.png,,,,,
56,57,5,6,50,52,1,Train/1/00014_00005_00012.png,,,,,
56,57,5,6,51,52,1,Train/1/00014_00005_00013.png,,,,,
57,56,6,5,52,51,1,Train/1/00014_00005_00014.png,,,,,
57,58,5,6,52,53,1,Train/1/00014_00005_00015.png,,,,,
57,59,5,6,52,53,1,Train/1/00014_00005_00016.png,,,,,
60,60,6,6,54,54,1,Train/1/00014_00005_00017.png,,,,,
61,60,6,5,55,54,1,Train/1/00014_00005_00018.png,,,,,
62,61,6,5,57,56,1,Train/1/00014_00005_00019.png,,,,,
63,62,6,5,58,57,1,Train/1/00014_00005_00020.png,,,,,
65,65,6,6,59,59,1,Train/1/00014_00005_00021.png,,,,,
68,68,7,7,62,62,1,Train/1/00014_00005_00022.png,,,,,
68,68,6,6,62,62,1,Train/1/00014_00005_00023.png,,,,,
71,72,6,7,65,66,1,Train/1/00014_00005_00024.png,,,,,
73,73,7,7,67,67,1,Train/1/00014_00005_00025.png,,,,,
74,74,6,6,68,68,1,Train/1/00014_00005_00026.png,,,,,
78,77,7,7,71,71,1,Train/1/00014_00005_00027.png,,,,,
82,82,8,8,75,75,1,Train/1/00014_00005_00028.png,,,,,
85,86,7,8,78,79,1,Train/1/00014_00005_00029.png,,,,,
31,33,6,6,26,28,1,Train/1/00014_00006_00000.png,,,,,
31,33,6,5,26,27,1,Train/1/00014_00006_00001.png,,,,,
32,33,6,5,27,28,1,Train/1/00014_00006_00002.png,,,,,
33,33,5,5,27,28,1,Train/1/00014_00006_00003.png,,,,,
33,34,5,5,28,29,1,Train/1/00014_00006_00004.png,,,,,
34,35,6,5,29,29,1,Train/1/00014_00006_00005.png,,,,,
34,36,5,6,29,31,1,Train/1/00014_00006_00006.png,,,,,
35,36,5,6,29,30,1,Train/1/00014_00006_00007.png,,,,,
37,37,5,5,32,31,1,Train/1/00014_00006_00008.png,,,,,
38,38,5,5,33,32,1,Train/1/00014_00006_00009.png,,,,,
40,40,6,6,35,34,1,Train/1/00014_00006_00010.png,,,,,
39,40,5,5,34,35,1,Train/1/00014_00006_00011.png,,,,,
42,43,6,6,37,37,1,Train/1/00014_00006_00012.png,,,,,
41,43,5,5,35,37,1,Train/1/00014_00006_00013.png,,,,,
45,46,6,6,40,40,1,Train/1/00014_00006_00014.png,,,,,
46,46,6,5,41,41,1,Train/1/00014_00006_00015.png,,,,,
46,48,5,5,41,43,1,Train/1/00014_00006_00016.png,,,,,
49,52,5,6,43,46,1,Train/1/00014_00006_00017.png,,,,,
52,53,6,5,46,47,1,Train/1/00014_00006_00018.png,,,,,
54,57,5,6,49,52,1,Train/1/00014_00006_00019.png,,,,,
60,59,6,5,54,54,1,Train/1/00014_00006_00020.png,,,,,
61,62,5,5,56,57,1,Train/1/00014_00006_00021.png,,,,,
68,67,7,6,62,61,1,Train/1/00014_00006_00022.png,,,,,
72,73,7,6,66,67,1,Train/1/00014_00006_00023.png,,,,,
76,80,6,7,69,73,1,Train/1/00014_00006_00024.png,,,,,
85,87,8,7,77,79,1,Train/1/00014_00006_00025.png,,,,,
92,96,8,9,83,87,1,Train/1/00014_00006_00026.png,,,,,
97,101,9,9,88,92,1,Train/1/00014_00006_00027.png,,,,,
107,117,9,11,97,107,1,Train/1/00014_00006_00028.png,,,,,
119,134,10,12,109,122,1,Train/1/00014_00006_00029.png,,,,,
32,32,6,6,27,27,1,Train/1/00014_00007_00000.png,,,,,
34,33,6,5,29,28,1,Train/1/00014_00007_00001.png,,,,,
35,35,5,5,30,30,1,Train/1/00014_00007_00002.png,,,,,
36,35,6,5,31,30,1,Train/1/00014_00007_00003.png,,,,,
37,37,6,6,32,32,1,Train/1/00014_00007_00004.png,,,,,
37,38,5,6,32,33,1,Train/1/00014_00007_00005.png,,,,,
39,38,6,5,34,33,1,Train/1/00014_00007_00006.png,,,,,
38,40,5,6,33,35,1,Train/1/00014_00007_00007.png,,,,,
42,41,6,6,37,36,1,Train/1/00014_00007_00008.png,,,,,
44,42,6,6,39,37,1,Train/1/00014_00007_00009.png,,,,,
46,44,6,6,41,39,1,Train/1/00014_00007_00010.png,,,,,
47,45,6,5,42,40,1,Train/1/00014_00007_00011.png,,,,,
48,48,5,6,43,43,1,Train/1/00014_00007_00012.png,,,,,
51,50,6,6,46,45,1,Train/1/00014_00007_00013.png,,,,,
52,52,5,5,47,47,1,Train/1/00014_00007_00014.png,,,,,
56,55,5,5,51,50,1,Train/1/00014_00007_00015.png,,,,,
58,58,5,6,53,53,1,Train/1/00014_00007_00016.png,,,,,
64,62,6,5,59,57,1,Train/1/00014_00007_00017.png,,,,,
70,69,7,7,64,63,1,Train/1/00014_00007_00018.png,,,,,
74,72,7,6,68,66,1,Train/1/00014_00007_00019.png,,,,,
82,80,7,8,75,73,1,Train/1/00014_00007_00020.png,,,,,
88,85,8,8,81,78,1,Train/1/00014_00007_00021.png,,,,,
96,93,8,9,88,85,1,Train/1/00014_00007_00022.png,,,,,
105,100,9,9,96,92,1,Train/1/00014_00007_00023.png,,,,,
111,109,9,9,102,100,1,Train/1/00014_00007_00024.png,,,,,
121,118,10,11,111,108,1,Train/1/00014_00007_00025.png,,,,,
128,123,11,11,117,113,1,Train/1/00014_00007_00026.png,,,,,
134,130,11,11,123,119,1,Train/1/00014_00007_00027.png,,,,,
141,134,13,12,129,123,1,Train/1/00014_00007_00028.png,,,,,
144,141,12,13,131,128,1,Train/1/00014_00007_00029.png,,,,,
29,33,5,5,24,28,1,Train/1/00014_00008_00000.png,,,,,
30,35,5,6,25,30,1,Train/1/00014_00008_00001.png,,,,,
31,34,6,5,26,29,1,Train/1/00014_00008_00002.png,,,,,
33,36,6,5,28,31,1,Train/1/00014_00008_00003.png,,,,,
35,38,6,6,29,33,1,Train/1/00014_00008_00004.png,,,,,
35,38,6,6,30,33,1,Train/1/00014_00008_00005.png,,,,,
35,40,5,5,30,35,1,Train/1/00014_00008_00006.png,,,,,
36,41,5,6,31,36,1,Train/1/00014_00008_00007.png,,,,,
39,42,6,5,33,37,1,Train/1/00014_00008_00008.png,,,,,
39,43,6,5,34,37,1,Train/1/00014_00008_00009.png,,,,,
38,44,5,5,33,39,1,Train/1/00014_00008_00010.png,,,,,
39,46,5,6,33,40,1,Train/1/00014_00008_00011.png,,,,,
40,47,5,5,35,42,1,Train/1/00014_00008_00012.png,,,,,
43,50,6,6,38,44,1,Train/1/00014_00008_00013.png,,,,,
43,49,5,5,38,44,1,Train/1/00014_00008_00014.png,,,,,
47,55,6,6,42,50,1,Train/1/00014_00008_00015.png,,,,,
47,55,6,6,42,50,1,Train/1/00014_00008_00016.png,,,,,
47,55,5,6,42,50,1,Train/1/00014_00008_00017.png,,,,,
50,57,6,5,45,51,1,Train/1/00014_00008_00018.png,,,,,
50,60,5,5,45,55,1,Train/1/00014_00008_00019.png,,,,,
52,63,5,6,47,58,1,Train/1/00014_00008_00020.png,,,,,
55,64,5,6,50,59,1,Train/1/00014_00008_00021.png,,,,,
56,68,5,6,51,62,1,Train/1/00014_00008_00022.png,,,,,
60,73,6,7,55,66,1,Train/1/00014_00008_00023.png,,,,,
64,77,6,7,59,71,1,Train/1/00014_00008_00024.png,,,,,
69,83,7,7,63,75,1,Train/1/00014_00008_00025.png,,,,,
72,93,6,8,65,84,1,Train/1/00014_00008_00026.png,,,,,
80,104,7,9,73,95,1,Train/1/00014_00008_00027.png,,,,,
86,118,7,10,79,108,1,Train/1/00014_00008_00028.png,,,,,
95,131,9,12,87,120,1,Train/1/00014_00008_00029.png,,,,,
25,27,5,5,20,22,1,Train/1/00014_00009_00000.png,,,,,
28,30,5,5,23,25,1,Train/1/00014_00009_00001.png,,,,,
28,30,5,5,23,25,1,Train/1/00014_00009_00002.png,,,,,
28,31,5,5,23,26,1,Train/1/00014_00009_00003.png,,,,,
28,33,5,6,23,27,1,Train/1/00014_00009_00004.png,,,,,
31,32,5,5,25,27,1,Train/1/00014_00009_00005.png,,,,,
29,31,5,6,24,26,1,Train/1/00014_00009_00006.png,,,,,
33,34,6,6,28,29,1,Train/1/00014_00009_00007.png,,,,,
34,35,6,5,29,30,1,Train/1/00014_00009_00008.png,,,,,
35,37,5,5,30,32,1,Train/1/00014_00009_00009.png,,,,,
38,39,6,6,33,34,1,Train/1/00014_00009_00010.png,,,,,
39,40,6,6,34,35,1,Train/1/00014_00009_00011.png,,,,,
39,40,6,6,34,35,1,Train/1/00014_00009_00012.png,,,,,
38,40,5,6,33,35,1,Train/1/00014_00009_00013.png,,,,,
39,41,5,5,34,36,1,Train/1/00014_00009_00014.png,,,,,
43,46,5,5,37,41,1,Train/1/00014_00009_00015.png,,,,,
44,47,5,5,39,42,1,Train/1/00014_00009_00016.png,,,,,
46,48,6,5,41,43,1,Train/1/00014_00009_00017.png,,,,,
49,51,5,5,43,46,1,Train/1/00014_00009_00018.png,,,,,
53,56,6,6,47,50,1,Train/1/00014_00009_00019.png,,,,,
56,58,6,6,51,53,1,Train/1/00014_00009_00020.png,,,,,
60,62,5,6,55,57,1,Train/1/00014_00009_00021.png,,,,,
63,64,5,5,58,59,1,Train/1/00014_00009_00022.png,,,,,
69,71,6,7,63,65,1,Train/1/00014_00009_00023.png,,,,,
76,76,7,7,70,70,1,Train/1/00014_00009_00024.png,,,,,
84,83,8,7,77,76,1,Train/1/00014_00009_00025.png,,,,,
95,95,8,9,86,87,1,Train/1/00014_00009_00026.png,,,,,
104,105,9,10,95,96,1,Train/1/00014_00009_00027.png,,,,,
120,118,11,11,110,108,1,Train/1/00014_00009_00028.png,,,,,
140,134,13,11,128,123,1,Train/1/00014_00009_00029.png,,,,,
56,64,5,5,51,59,1,Train/1/00014_00010_00000.png,,,,,
57,65,6,6,52,60,1,Train/1/00014_00010_00001.png,,,,,
57,67,5,6,52,61,1,Train/1/00014_00010_00002.png,,,,,
60,69,6,7,55,63,1,Train/1/00014_00010_00003.png,,,,,
61,69,6,6,56,63,1,Train/1/00014_00010_00004.png,,,,,
62,72,6,7,57,66,1,Train/1/00014_00010_00005.png,,,,,
62,71,5,6,57,65,1,Train/1/00014_00010_00006.png,,,,,
63,74,6,7,58,68,1,Train/1/00014_00010_00007.png,,,,,
64,74,6,6,59,68,1,Train/1/00014_00010_00008.png,,,,,
64,76,5,6,59,70,1,Train/1/00014_00010_00009.png,,,,,
68,79,6,7,62,72,1,Train/1/00014_00010_00010.png,,,,,
71,81,7,8,65,74,1,Train/1/00014_00010_00011.png,,,,,
71,80,6,7,64,73,1,Train/1/00014_00010_00012.png,,,,,
72,83,6,8,65,75,1,Train/1/00014_00010_00013.png,,,,,
73,84,7,8,67,77,1,Train/1/00014_00010_00014.png,,,,,
76,85,7,7,70,78,1,Train/1/00014_00010_00015.png,,,,,
79,88,7,8,72,81,1,Train/1/00014_00010_00016.png,,,,,
82,92,8,9,75,84,1,Train/1/00014_00010_00017.png,,,,,
84,93,8,8,77,85,1,Train/1/00014_00010_00018.png,,,,,
87,96,8,8,79,88,1,Train/1/00014_00010_00019.png,,,,,
92,101,9,9,84,93,1,Train/1/00014_00010_00020.png,,,,,
95,107,8,10,87,98,1,Train/1/00014_00010_00021.png,,,,,
100,111,9,10,92,102,1,Train/1/00014_00010_00022.png,,,,,
106,118,9,11,96,108,1,Train/1/00014_00010_00023.png,,,,,
112,125,9,11,103,115,1,Train/1/00014_00010_00024.png,,,,,
122,133,11,12,112,122,1,Train/1/00014_00010_00025.png,,,,,
131,142,11,12,120,130,1,Train/1/00014_00010_00026.png,,,,,
144,156,12,14,132,143,1,Train/1/00014_00010_00027.png,,,,,
160,171,14,15,147,157,1,Train/1/00014_00010_00028.png,,,,,
178,184,16,16,162,169,1,Train/1/00014_00010_00029.png,,,,,
43,43,6,6,38,38,1,Train/1/00014_00011_00000.png,,,,,
43,42,6,5,38,37,1,Train/1/00014_00011_00001.png,,,,,
43,42,6,5,38,37,1,Train/1/00014_00011_00002.png,,,,,
42,42,5,5,37,37,1,Train/1/00014_00011_00003.png,,,,,
43,42,6,5,38,37,1,Train/1/00014_00011_00004.png,,,,,
42,44,5,6,37,39,1,Train/1/00014_00011_00005.png,,,,,
44,44,6,5,38,39,1,Train/1/00014_00011_00006.png,,,,,
44,46,5,6,39,41,1,Train/1/00014_00011_00007.png,,,,,
44,44,5,5,39,39,1,Train/1/00014_00011_00008.png,,,,,
46,46,6,6,41,41,1,Train/1/00014_00011_00009.png,,,,,
47,46,6,5,42,41,1,Train/1/00014_00011_00010.png,,,,,
46,46,5,5,41,41,1,Train/1/00014_00011_00011.png,,,,,
49,47,6,5,43,42,1,Train/1/00014_00011_00012.png,,,,,
49,49,5,5,44,44,1,Train/1/00014_00011_00013.png,,,,,
49,50,5,6,44,45,1,Train/1/00014_00011_00014.png,,,,,
51,51,5,5,46,46,1,Train/1/00014_00011_00015.png,,,,,
52,52,5,5,47,47,1,Train/1/00014_00011_00016.png,,,,,
54,55,5,6,49,50,1,Train/1/00014_00011_00017.png,,,,,
58,56,6,5,52,51,1,Train/1/00014_00011_00018.png,,,,,
58,58,5,5,53,53,1,Train/1/00014_00011_00019.png,,,,,
62,62,5,5,57,57,1,Train/1/00014_00011_00020.png,,,,,
65,66,6,6,60,60,1,Train/1/00014_00011_00021.png,,,,,
70,70,6,6,64,64,1,Train/1/00014_00011_00022.png,,,,,
75,75,7,7,69,69,1,Train/1/00014_00011_00023.png,,,,,
81,82,7,8,74,74,1,Train/1/00014_00011_00024.png,,,,,
87,86,7,7,80,79,1,Train/1/00014_00011_00025.png,,,,,
98,97,8,9,90,89,1,Train/1/00014_00011_00026.png,,,,,
108,103,9,9,99,94,1,Train/1/00014_00011_00027.png,,,,,
120,116,11,11,110,106,1,Train/1/00014_00011_00028.png,,,,,
141,134,12,12,129,123,1,Train/1/00014_00011_00029.png,,,,,
43,43,5,5,38,38,1,Train/1/00014_00012_00000.png,,,,,
43,44,5,6,38,39,1,Train/1/00014_00012_00001.png,,,,,
43,44,5,6,38,39,1,Train/1/00014_00012_00002.png,,,,,
43,43,5,5,38,38,1,Train/1/00014_00012_00003.png,,,,,
44,44,6,6,39,39,1,Train/1/00014_00012_00004.png,,,,,
44,43,5,5,38,38,1,Train/1/00014_00012_00005.png,,,,,
45,44,6,5,40,39,1,Train/1/00014_00012_00006.png,,,,,
44,45,5,6,39,40,1,Train/1/00014_00012_00007.png,,,,,
44,45,5,6,39,40,1,Train/1/00014_00012_00008.png,,,,,
45,45,5,5,40,40,1,Train/1/00014_00012_00009.png,,,,,
45,45,5,5,40,40,1,Train/1/00014_00012_00010.png,,,,,
45,45,5,5,40,40,1,Train/1/00014_00012_00011.png,,,,,
47,46,6,5,41,40,1,Train/1/00014_00012_00012.png,,,,,
46,46,5,5,41,41,1,Train/1/00014_00012_00013.png,,,,,
47,47,5,5,42,42,1,Train/1/00014_00012_00014.png,,,,,
47,48,5,6,42,43,1,Train/1/00014_00012_00015.png,,,,,
49,49,6,6,44,44,1,Train/1/00014_00012_00016.png,,,,,
49,49,6,6,44,44,1,Train/1/00014_00012_00017.png,,,,,
50,49,6,5,45,44,1,Train/1/00014_00012_00018.png,,,,,
52,52,6,6,47,47,1,Train/1/00014_00012_00019.png,,,,,
51,52,5,6,46,47,1,Train/1/00014_00012_00020.png,,,,,
54,54,6,6,48,48,1,Train/1/00014_00012_00021.png,,,,,
55,54,6,5,49,48,1,Train/1/00014_00012_00022.png,,,,,
54,55,5,6,49,50,1,Train/1/00014_00012_00023.png,,,,,
56,55,6,5,51,50,1,Train/1/00014_00012_00024.png,,,,,
56,57,5,6,51,52,1,Train/1/00014_00012_00025.png,,,,,
58,57,5,5,52,52,1,Train/1/00014_00012_00026.png,,,,,
59,60,5,6,54,55,1,Train/1/00014_00012_00027.png,,,,,
63,62,6,6,58,57,1,Train/1/00014_00012_00028.png,,,,,
65,63,6,5,60,58,1,Train/1/00014_00012_00029.png,,,,,
39,40,6,6,34,35,1,Train/1/00014_00013_00000.png,,,,,
38,38,6,6,33,33,1,Train/1/00014_00013_00001.png,,,,,
36,39,5,5,31,34,1,Train/1/00014_00013_00002.png,,,,,
39,39,6,5,34,34,1,Train/1/00014_00013_00003.png,,,,,
41,41,6,5,36,36,1,Train/1/00014_00013_00004.png,,,,,
43,43,6,5,38,38,1,Train/1/00014_00013_00005.png,,,,,
45,46,6,6,40,41,1,Train/1/00014_00013_00006.png,,,,,
